날짜,종가,"전일 대비",시가,고가,저가,거래량
2024-11-25,"951,000","상승17,000","941,000","960,000","933,000","59,687"
2024-11-22,"934,000","상승2,000","939,000","939,000","926,000","79,868"
2024-11-21,"932,000","하락6,000","944,000","963,000","932,000","130,862"
2024-11-20,"938,000","상승19,000","942,000","953,000","915,000","94,198"
2024-11-19,"919,000","상승3,000","917,000","937,000","917,000","74,830"
2024-11-18,"916,000","하락21,000","915,000","932,000","907,000","88,698"
2024-11-15,"937,000","하락20,000","956,000","964,000","929,000","281,564"
2024-11-14,"957,000","상승7,000","951,000","972,000","943,000","77,243"
2024-11-13,"950,000","하락37,000","978,000","987,000","947,000","90,569"
2024-11-12,"987,000","하락20,000","1,001,000","1,011,000","981,000","82,207"
